,id,dateTime,value,description,parentCategory,subCategory
88,8f52294b-c1eb-4851-81e8-3f6af38b67a0,2021-03-24T19:40:28+11:00,20.00,Transfer from Savings,None,None
89,ed95ac85-eb14-47c2-b2d2-28496d4176e4,2021-03-24T19:40:28+11:00,-20.00,Transfer to Spending,None,None
90,1ef2eef5-d15e-4d36-9deb-217918255c33,2021-03-20T23:27:21+11:00,1.00,Round Up,None,None
91,94378f06-ee07-4617-a096-747f2a5e5343,2021-03-20T23:27:19+11:00,-6.00,Stones Corner Hotel,good-life,booze
92,e8d3cabd-ce5d-411e-a3d3-39bd6fbd2915,2021-03-20T20:14:49+11:00,1.00,Round Up,None,None
93,00176222-c7a0-4801-8608-276c579cd47d,2021-03-20T20:14:48+11:00,-6.00,Stones Corner Hotel,good-life,booze
94,78fbaa68-ce1d-401f-9922-7d7ae62040f2,2021-03-20T15:11:58+11:00,0.25,Round Up,None,None
95,5f1dea9a-f662-4f37-8ffd-c59f83cc8f33,2021-03-20T15:11:56+11:00,-6.75,Coles,home,groceries
96,71c46901-aa21-4a10-81f2-73be2db4d676,2021-03-20T11:08:27+11:00,0.32,Round Up,None,None
97,84943858-67fb-4260-a9cf-6c5a17feec8d,2021-03-20T11:08:26+11:00,-24.68,Farm House Kedron,good-life,restaurants-and-cafes
98,c7ebc1b6-0532-4c8c-9352-106c6e5879d8,2021-03-15T13:24:02+11:00,1.00,Quick save transfer from Spending,None,None
99,35cddc93-d451-4212-b657-eeb33c25cc3b,2021-03-15T13:24:02+11:00,-1.00,Quick save transfer to Savings,None,None
